TradeDate;High;Low;Open;Close;PrevClose;EMA8;EMA22;EMA30;EMA4High;EMA4Low
2014/03/18;1377.79;1357.73;1364.67;1369.56;1365.09;1346.387233;1312.924692;1296.574852;1365.537015;1365.537015
2014/03/19;1379.42;1360.27;1373.73;1364.41;1369.56;1350.392292;1317.401675;1300.814549;1371.090209;1371.090209
2014/03/20;1365.67;1349.9;1359.16;1363.3;1364.41;1353.260672;1321.392834;1304.71989;1368.922126;1368.922126
2014/03/21;1365.72;1329.43;1364;1330.69;1363.3;1348.244967;1322.201283;1306.343022;1367.641275;1367.641275
2014/03/24;1338.74;1318.87;1330.17;1329.2;1330.69;1344.012752;1322.809867;1307.771583;1356.080765;1356.080765
2014/03/26;1340.26;1322;1334.01;1331.96;1329.2;1341.334363;1323.605531;1309.283359;1349.752459;1349.752459
2014/03/27;1325.42;1308.05;1324.58;1314.99;1331.96;1335.48006;1322.856354;1309.640024;1340.019475;1340.019475
2014/03/28;1328.03;1315.15;1316.7;1327.87;1314.99;1333.788935;1323.292324;1310.779397;1335.223685;1335.223685
2014/03/31;1339.26;1324.26;1335.94;1335.74;1327.87;1334.222505;1324.37473;1312.339435;1336.838211;1336.838211
2014/04/01;1343.34;1329.51;1337.31;1342.75;1335.74;1336.117504;1325.97258;1314.240095;1339.438927;1339.438927
2014/04/02;1354.93;1337.36;1345.52;1353.01;1342.75;1339.871392;1328.32366;1316.663214;1345.635356;1345.635356
2014/04/03;1354.91;1323.24;1353.64;1323.24;1353.01;1336.175527;1327.881602;1317.074263;1349.345214;1349.345214
2014/04/04;1340.77;1304.3;1325.74;1314.74;1323.24;1331.412077;1326.738854;1316.928372;1345.915128;1345.915128
2014/04/07;1331.1;1305.95;1315.39;1308.84;1314.74;1326.39606;1325.182432;1316.422849;1339.989077;1339.989077
2014/04/08;1315.41;1291.16;1312.4;1300.07;1308.84;1320.545824;1322.998742;1315.400796;1330.157446;1330.157446
2014/04/09;1307.72;1288.81;1306.03;1293.54;1300.07;1314.54453;1320.437113;1314.034496;1321.182468;1321.182468
2014/04/10;1302.68;1280.75;1302.35;1283.96;1293.54;1307.747968;1317.26519;1312.15484;1313.781481;1313.781481
2014/04/11;1285.23;1249.03;1280.15;1250.8;1283.96;1295.092864;1311.485608;1308.320162;1302.360888;1302.360888
2014/04/14;1249.28;1207.82;1248.8;1207.82;1250.8;1275.698894;1302.471207;1302.038902;1281.128533;1281.128533
2014/04/15;1225.74;1186.99;1215.56;1186.99;1207.82;1255.985806;1292.429363;1294.848346;1258.97312;1258.97312
2014/04/16;1219.75;1183.81;1188.46;1218;1186.99;1247.544516;1285.957245;1290.045324;1243.283872;1243.283872
2014/04/17;1252.37;1224.52;1224.95;1248.61;1218;1247.78129;1282.709658;1287.455617;1246.918323;1246.918323
2014/04/22;1262.33;1252.43;1254.56;1260.72;1248.61;1250.656559;1280.797514;1285.784641;1253.082994;1253.082994
2014/04/23;1261.03;1229.09;1260.32;1230.2;1260.72;1246.110657;1276.39773;1282.3106;1256.261796;1256.261796
2014/04/24;1238.54;1214.19;1235.3;1230.55;1230.2;1242.652733;1272.410971;1279.075563;1249.173078;1249.173078
2014/04/25;1233.6;1219.41;1231.84;1223.14;1230.55;1238.31657;1268.126539;1275.57959;1242.943847;1242.943847
2014/04/28;1225.01;1190.54;1223.77;1193.95;1223.14;1228.457333;1261.676405;1270.477741;1235.770308;1235.770308
2014/04/29;1209.72;1185.98;1195.16;1195.2;1193.95;1221.066814;1255.895848;1265.772882;1225.350185;1225.350185
2014/04/30;1234.76;1200.27;1201.26;1232.12;1195.2;1223.523078;1253.828383;1263.669577;1229.114111;1229.114111
2014/05/02;1245.33;1232.98;1236.26;1240.16;1232.12;1227.220172;1252.639828;1262.200228;1235.600467;1235.600467
2014/05/05;1239.39;1220.56;1236.95;1232.52;1240.16;1228.397911;1250.890278;1260.345214;1237.11628;1237.11628
2014/05/06;1232.89;1214;1232.89;1215.08;1232.52;1225.438375;1247.776341;1257.516138;1235.425768;1235.425768
2014/05/07;1233.23;1208.75;1213.34;1231.25;1215.08;1226.729848;1246.339267;1255.874505;1234.547461;1234.547461
2014/05/08;1241.97;1220.16;1235.38;1224.69;1231.25;1226.276548;1244.456722;1253.925473;1237.516476;1237.516476
2014/05/09;1224.75;1187.61;1224.21;1191.7;1224.69;1218.592871;1239.869181;1250.036381;1232.409886;1232.409886
2014/05/12;1194.79;1150.01;1194.22;1164.59;1191.7;1206.592233;1233.323166;1244.695982;1217.361932;1217.361932
2014/05/13;1178.76;1153.44;1170.49;1160.81;1164.59;1196.418403;1227.017673;1239.453108;1201.921159;1201.921159
2014/05/14;1186.95;1158.49;1160.59;1178.12;1160.81;1192.352091;1222.765701;1235.619789;1195.932695;1195.932695
2014/05/15;1181.68;1121.11;1178.48;1123.62;1178.12;1177.078293;1214.144336;1228.619802;1190.231617;1190.231617
2014/05/16;1127.08;1088.23;1122.7;1088.25;1123.62;1157.338673;1203.197002;1219.84669;1164.97097;1164.97097
2014/05/19;1126.05;1062.66;1099.02;1066.54;1088.25;1137.16119;1191.313785;1210.265021;1149.402582;1149.402582
2014/05/20;1128.16;1069.31;1069.79;1119.3;1066.54;1133.192037;1185.051717;1204.579708;1140.905549;1140.905549
2014/05/21;1141.56;1123.74;1125.72;1136.76;1119.3;1133.984917;1180.852437;1200.340976;1141.16733;1141.16733
2014/05/22;1151.76;1132.84;1147.66;1150.97;1136.76;1137.75938;1178.253964;1197.25529;1145.404398;1145.404398
2014/05/23;1171.15;1146.87;1157.2;1171.15;1150.97;1145.179518;1177.636228;1195.623709;1155.702639;1155.702639
2014/05/26;1199.26;1166.94;1179.15;1197.71;1171.15;1156.852958;1179.381773;1195.754102;1173.125583;1173.125583
2014/05/27;1210.19;1194.65;1199.69;1207.55;1197.71;1168.118968;1181.831184;1196.491346;1187.95135;1187.95135
2014/05/28;1220.77;1205.03;1208.63;1220.16;1207.55;1179.683641;1185.164125;1197.970637;1201.07881;1201.07881
2014/05/29;1223.97;1194.48;1219.81;1206.21;1220.16;1185.578388;1186.994201;1198.485597;1210.235286;1210.235286
2014/05/30;1231.3;1208.27;1208.27;1223.48;1206.21;1194.000968;1190.166879;1200.047747;1218.661172;1218.661172
2014/06/02;1258.85;1225.8;1228.4;1245.15;1223.48;1205.36742;1194.94802;1202.866638;1234.736703;1234.736703
2014/06/03;1254.18;1233.7;1245.56;1234.62;1245.15;1211.867993;1198.397758;1204.851223;1242.514022;1242.514022
2014/06/04;1251.68;1231.51;1235.97;1251.05;1234.62;1220.575106;1202.976213;1207.738647;1246.180413;1246.180413
2014/06/05;1286;1259.44;1259.44;1285.97;1251.05;1235.107305;1210.193064;1212.628106;1262.108248;1262.108248
2014/06/06;1305.16;1281.82;1290.06;1305.16;1285.97;1250.67457;1218.451059;1218.41135;1279.328949;1279.328949
2014/06/10;1328.6;1304.08;1314.26;1322.9;1305.16;1266.724666;1227.533575;1224.94189;1299.037369;1299.037369
2014/06/11;1317.66;1285.13;1317.66;1307.26;1322.9;1275.732518;1234.466308;1230.086772;1306.486422;1306.486422
2014/06/12;1310.98;1295.42;1299.64;1307.08;1307.26;1282.698625;1240.780542;1234.898849;1308.283853;1308.283853
2014/06/13;1305.76;1270.33;1304.19;1270.69;1307.08;1280.030042;1243.381365;1237.135796;1307.274312;1307.274312
2014/06/16;1281.25;1262.31;1270.7;1262.31;1270.69;1276.092255;1245.027333;1238.709184;1296.864587;1296.864587
2014/06/17;1275.56;1252.95;1266.25;1258.48;1262.31;1272.17842;1246.19713;1239.94486;1288.342752;1288.342752
2014/06/18;1270.34;1246.85;1260.67;1270.34;1258.48;1271.769882;1248.29651;1241.844556;1281.141651;1281.141651
2014/06/19;1291.37;1279.48;1282.05;1286.99;1270.34;1275.152131;1251.661161;1244.666146;1285.232991;1285.232991
2014/06/20;1305.93;1282.04;1286.95;1305.93;1286.99;1281.991657;1256.380191;1248.495137;1293.511794;1293.511794
2014/06/23;1296.15;1266.07;1295.72;1270.38;1305.93;1279.411289;1257.597565;1249.862941;1294.567077;1294.567077
2014/06/24;1273.2;1242.34;1273.2;1243.72;1270.38;1271.479891;1256.390821;1249.479007;1286.020246;1286.020246
2014/06/25;1241.69;1219.79;1237.34;1226.19;1243.72;1261.415471;1253.764662;1248.023444;1268.288148;1268.288148
2014/06/26;1237.04;1222.89;1227.95;1226.45;1226.19;1253.645366;1251.389474;1246.675104;1255.788889;1255.788889
2014/06/27;1232.24;1199.55;1224.41;1209.97;1226.45;1243.939729;1247.787781;1244.381035;1246.369333;1246.369333
2014/06/30;1217.29;1204.48;1209.75;1214.31;1209.97;1237.355345;1244.876669;1242.501595;1234.7376;1234.7376
2014/07/01;1235.77;1215.81;1217.91;1228.85;1214.31;1235.465268;1243.483046;1241.648371;1235.15056;1235.15056
2014/07/02;1252.39;1231.47;1237.19;1247.92;1228.85;1238.232987;1243.868868;1242.040347;1242.046336;1242.046336
2014/07/03;1256.77;1242.1;1250.65;1254.21;1247.92;1241.783434;1244.768097;1242.800951;1247.935802;1247.935802
2014/07/04;1256.57;1243.8;1252.85;1243.8;1254.21;1242.23156;1244.683915;1242.863391;1251.389481;1251.389481
2014/07/07;1250.3;1237.58;1247.06;1242.82;1243.8;1242.362324;1244.521835;1242.860679;1250.953689;1250.953689
